Age,????????,?????? ????????????,????????????? ????? ? jira,Department,DistanceFromHome,Education,EducationField,???????????,????? ??????????,????????????????? ?????????,Gender,HourlyRate,??????? ?????????????,??????? ??????????,JobRole,JobSatisfaction,???????? ?????????,??????? ????? ?? ????,?????? 18,?????? ??????,????  ???????? ?? ???????? ??? %,??????? ????????????,??????? ??????????,????????? ????? ? ??????,????? ???? ??????,?????????? ?????????? ????????? ? ????????,?????? ??????? ????? ? ??????,?????? ? ???
41,Yes,??,1102,?????????????,1,2,????????,1,1,2,???????,94,3,2,???????? ?????????????,4,??????,5993,Y,Yes,11,3,1,40,8,0,1,6
37,Yes,??,1373,??????????,2,2,???????????? ??????/???,1,4,4,???????,92,2,1,Backend ???????????,3,??????,2090,Y,Yes,15,3,2,40,7,3,3,0
33,No,???,1392,??????????,3,4,????????,1,5,4,???????,56,3,1,Frontend ???????????,3,???????/?????,2909,Y,Yes,11,3,3,40,8,3,3,8
59,No,??,1324,??????????,3,3,??????????,1,10,3,???????,81,4,1,Backend ???????????,1,???????/?????,2670,Y,Yes,20,4,1,40,12,3,2,1
29,No,??,153,??????????,15,2,????????,1,15,4,???????,49,2,2,Backend ???????????,3,??????,4193,Y,Yes,12,3,4,40,10,3,3,9
28,Yes,??,103,??????????,24,3,????????,1,19,3,???????,50,2,1,Backend ???????????,3,??????,2028,Y,Yes,14,3,2,40,6,4,3,4
32,No,??,334,??????????,5,2,????????,1,21,1,???????,40,4,1,Frontend ???????????,2,????????,3298,Y,Yes,12,3,4,40,7,5,2,6
22,No,???,1123,??????????,16,2,??????????,1,22,4,???????,96,4,1,Backend ???????????,4,????????,2935,Y,Yes,13,3,2,40,1,2,2,1
38,No,??,371,??????????,2,3,????????,1,24,4,???????,45,3,1,Frontend ???????????,4,??????,3944,Y,Yes,11,3,3,40,6,3,3,3
32,Yes,???,1125,??????????,16,1,????????,1,33,2,???????,72,1,1,Frontend ???????????,1,??????,3919,Y,Yes,22,4,2,40,10,5,3,10
44,No,??,1459,??????????,10,4,???????????? ??????/???,1,40,4,???????,41,3,2,??????,4,???????/?????,6465,Y,Yes,13,3,4,40,9,5,4,4
